GotCha,500.0,Extreme
eiei,362.0,Insane
wowow,232,Intermediate
SudYord,116.0,Extreme
mymode,103.0,Extreme
ez bro ,100.0,Extreme
Hello World,86.0,Advanced
hello world,71.0,Beginner
น่านไงผมว่าแล้ว,0.0,Extreme
nullpointerexception,0.0,Extreme
eiei,0.0,Extreme
